R[MAGRATHEA-iron-1000k],M[MAGRATHEA-iron-1000k],R[Reinhardt2022],M[Reinhardt2022],R[b0d0_80kms],M[b0d0_80kms],R[b0d3_80kms],M[b0d3_80kms],R[b0d5_80kms],M[b0d5_80kms],R[b0d7_80kms],M[b0d7_80kms],R[b0d3_160kms],M[b0d3_160kms],R[b0d5_160kms],M[b0d5_160kms],R[b0d7_160kms],M[b0d7_160kms]
1.69224,0.893216,2.1138596491228068,1.10243,2.1138596491228068,1.03483,4.90327802586608,1.39235,4.341310975555482,1.39941,4.238308378023131,1.45014,9.678485513461304,1.44692,5.1827491109765145,1.32659,4.358728330717717,1.39713
1.72228,0.897436,2.1514285714285712,1.10851,2.1514285714285712,1.04046,4.9738844732376455,1.39866,4.415847262439709,1.40647,4.3135649627922,1.45717,9.715698901479056,1.44903,5.25140121509556,1.33223,4.4331428179154955,1.40419
1.75232,0.901598,2.1889974937343357,1.11449,2.1889974937343357,1.04602,5.044490920609212,1.40491,4.490383549323937,1.41345,4.388821547561269,1.4641,9.752912289496809,1.45113,5.320053319214605,1.33783,4.507557305113274,1.41112
1.78236,0.905702,2.2265664160401,1.12043,2.2265664160401,1.05151,5.115097367980778,1.41106,4.564919836208164,1.42035,4.4640781323303385,1.4709,9.790125677514563,1.45314,5.388705423333651,1.34338,4.581971792311053,1.41798
1.8124,0.909751,2.2641353383458647,1.12627,2.2641353383458647,1.05691,5.185703815352343,1.41711,4.639456123092391,1.42713,4.539334717099408,1.47766,9.827339065532316,1.45523,5.457357527452696,1.34883,4.656386279508831,1.42476
1.84244,0.913745,2.3017042606516287,1.13202,2.3017042606516287,1.06229,5.256310262723909,1.42311,4.713992409976619,1.43384,4.614591301868477,1.48428,9.864552453550068,1.45731,5.526009631571741,1.35425,4.730800766706609,1.43142
1.87248,0.917687,2.339273182957393,1.13774,2.339273182957393,1.06756,5.3269167100954755,1.42906,4.788528696860847,1.44047,4.689847886637545,1.49081,9.901765841567823,1.45939,5.594661735690786,1.35963,4.805215253904387,1.43802
1.90253,0.921577,2.3768421052631576,1.14336,2.3768421052631576,1.07282,5.397523157467041,1.43491,4.8630649837450735,1.44698,4.765104471406614,1.49727,9.938979229585575,1.46139,5.663313839809832,1.36491,4.879629741102165,1.44449
1.93257,0.925418,2.414411027568922,1.14892,2.414411027568922,1.07798,5.468129604838607,1.44071,4.937601270629301,1.45339,4.840361056175683,1.50364,9.976192617603328,1.46346,5.731965943928877,1.37021,4.954044228299943,1.4509
1.96261,0.929211,2.4519799498746866,1.15443,2.4519799498746866,1.08313,5.538736052210173,1.44647,5.012137557513529,1.45977,4.9156176409447525,1.50989,10.013406005621082,1.46552,5.800618048047922,1.37542,5.028458715497721,1.45725
1.99265,0.932956,2.489548872180451,1.15984,2.489548872180451,1.08818,5.6093424995817385,1.45214,5.0866738443977555,1.46604,4.990874225713822,1.51611,10.050619393638835,1.4675,5.869270152166968,1.38059,5.102873202695499,1.46348
2.02269,0.936655,2.5271177944862155,1.16521,2.5271177944862155,1.09323,5.679948946953305,1.45776,5.161210131281983,1.4722,5.06613081048289,1.5222,10.087832781656587,1.46956,5.937922256286013,1.38566,5.177287689893277,1.46965
2.05273,0.94031,2.5646867167919796,1.17051,2.5646867167919796,1.09819,5.750555394324871,1.46328,5.235746418166211,1.47834,5.141387395251959,1.52823,10.125046169674341,1.47153,6.006574360405058,1.39071,5.2517021770910555,1.47576
2.08277,0.943921,2.602255639097744,1.17577,2.602255639097744,1.1031,5.821161841696436,1.46877,5.310282705050438,1.48438,5.216643980021028,1.53419,10.162259557692094,1.47358,6.075226464524103,1.39577,5.326116664288834,1.48176
2.11281,0.947491,2.6398245614035085,1.18094,2.6398245614035085,1.10797,5.891768289068002,1.47421,5.384818991934665,1.49036,5.291900564790097,1.54007,10.199472945709847,1.47555,6.143878568643149,1.40075,5.400531151486613,1.4877
2.14285,0.951018,2.677393483709273,1.18606,2.677393483709273,1.11279,5.9623747364395685,1.47956,5.459355278818893,1.49623,5.367157149559167,1.54589,10.2366863337276,1.47751,6.2125306727621945,1.40563,5.474945638684391,1.49359
2.17289,0.954506,2.7149624060150375,1.19113,2.7149624060150375,1.11756,6.032981183811134,1.48492,5.5338915657031205,1.50205,5.442413734328236,1.55164,10.273899721745353,1.47954,6.28118277688124,1.41054,5.549360125882169,1.49937
2.20293,0.957954,2.752531328320802,1.19616,2.752531328320802,1.1223,6.1035876311827,1.49015,5.608427852587348,1.50781,5.517670319097304,1.55733,10.311113109763106,1.48149,6.349834881000286,1.41536,5.623774613079947,1.5051
2.23297,0.961363,2.7901002506265664,1.20114,2.7901002506265664,1.12699,6.174194078554266,1.49538,5.682964139471575,1.51351,5.592926903866373,1.56291,10.34832649778086,1.48344,6.418486985119331,1.42015,5.698189100277725,1.51077
2.26301,0.964735,2.8276691729323304,1.20604,2.8276691729323304,1.13165,6.2448005259258315,1.50052,5.7575004263558025,1.51916,5.668183488635442,1.56847,10.385539885798613,1.48538,6.487139089238376,1.42491,5.772603587475503,1.51639
2.29305,0.96807,2.865238095238095,1.21089,2.865238095238095,1.13626,6.315406973297398,1.50563,5.83203671324003,1.52472,5.7434400734045115,1.57393,10.422753273816365,1.48732,6.555791193357421,1.42964,5.847018074673281,1.52192
2.32309,0.97137,2.9028070175438594,1.2157,2.9028070175438594,1.14084,6.386013420668964,1.5107,5.906573000124258,1.53022,5.818696658173581,1.57933,10.45996666183412,1.48934,6.624443297476467,1.43428,5.921432561871059,1.52744
2.35313,0.974634,2.940375939849624,1.22047,2.940375939849624,1.14538,6.456619868040529,1.51569,5.9811092870084845,1.53563,5.89395324294265,1.58467,10.497180049851872,1.49127,6.693095401595512,1.43889,5.995847049068837,1.53281
2.38317,0.977865,2.9779448621553883,1.2252,2.9779448621553883,1.14988,6.527226315412095,1.52064,6.055645573892712,1.54103,5.969209827711718,1.58996,10.534393437869625,1.49319,6.761747505714557,1.44347,6.0702615362666155,1.53819
2.41321,0.981062,3.015513784461153,1.22985,3.015513784461153,1.1543,6.597832762783661,1.52555,6.13018186077694,1.54634,6.044466412480787,1.59519,10.571606825887379,1.49512,6.830399609833602,1.44802,6.1446760234643945,1.54352
2.44325,0.984226,3.0530827067669173,1.23446,3.0530827067669173,1.15873,6.668439210155227,1.53038,6.204718147661167,1.5516,6.119722997249856,1.60037,10.608820213905132,1.49704,6.899051713952648,1.45255,6.2190905106621726,1.54875
2.47329,0.987358,3.0906516290726813,1.23907,3.0906516290726813,1.16308,6.739045657526793,1.53523,6.279254434545394,1.55682,6.1949795820189255,1.60549,10.646033601922884,1.49887,6.967703818071693,1.45705,6.293504997859951,1.55394
2.50333,0.990459,3.128220551378446,1.24361,3.128220551378446,1.16744,6.809652104898358,1.53999,6.353790721429622,1.56199,6.270236166787995,1.61056,10.683246989940638,1.50078,7.036355922190738,1.46146,6.367919485057729,1.55909
2.53337,0.993529,3.1657894736842103,1.24807,3.1657894736842103,1.17177,6.880258552269924,1.54472,6.4283270083138495,1.56707,6.345492751557064,1.61554,10.720460377958391,1.50269,7.105008026309784,1.46585,6.442333972255507,1.56419
2.56341,0.996569,3.2033583959899747,1.25253,3.2033583959899747,1.17602,6.950864999641491,1.54937,6.502863295198076,1.57211,6.420749336326132,1.62052,10.757673765976143,1.50459,7.173660130428829,1.47021,6.516748459453285,1.5692
2.59345,0.99958,3.240927318295739,1.25692,3.240927318295739,1.18023,7.021471447013056,1.55404,6.577399582082304,1.5771,6.496005921095201,1.6254,10.794887153993898,1.50649,7.2423122345478745,1.47455,6.591162946651063,1.57417
2.62349,1.00256,3.2784962406015037,1.26131,3.2784962406015037,1.18447,7.092077894384622,1.55862,6.6519358689665316,1.58205,6.57126250586427,1.63027,10.83210054201165,1.50831,7.31096433866692,1.47885,6.665577433848841,1.57909
2.65353,1.00552,3.316065162907268,1.26563,3.316065162907268,1.18862,7.162684341756188,1.56318,6.726472155850759,1.58697,6.64651909063334,1.63506,10.869313930029403,1.5102,7.379616442785966,1.48308,6.739991921046619,1.58398
